1,1,3
2,1,5
3,1,6
4,1,10
5,1,11
6,1,12
7,1,16
8,1,18
9,1,19
10,1,20
11,1,23
12,1,24
13,1,25
14,6,2
15,6,3
16,6,11
17,6,12
18,6,18
19,6,20
20,6,22
21,6,23
22,6,24
23,7,8
24,7,18
25,7,2
26,8,2
27,8,6
28,8,8
29,8,14
30,8,16
31,8,18
32,8,21
33,8,22
34,8,25
35,9,13
36,9,22
37,12,1
38,12,2
39,12,3
40,12,4
41,12,6
42,12,8
43,12,11
44,12,13
45,12,14
46,12,16
47,12,17
48,12,18
49,12,19
50,12,21
51,12,22
52,12,23
53,12,24
54,15,4
55,15,5
56,15,8
57,15,13
58,15,14
59,15,19
60,15,20
61,15,21
62,15,25
63,16,1
64,16,3
65,16,4
66,16,5
67,16,6
68,16,7
69,16,8
70,16,12
71,16,14
72,16,15
73,16,16
74,16,17
75,16,18
76,16,21
77,16,22
78,16,24
79,18,2
80,18,4
81,18,7
82,18,11
83,18,12
84,18,20
85,18,22
86,20,2
87,20,5
88,20,18
89,20,20
90,20,22
91,21,2
92,21,3
93,21,4
94,21,5
95,21,11
96,21,12
97,21,14
98,21,15
99,21,16
100,21,21
101,21,22
102,21,24
103,21,25
104,24,2
105,24,4
106,24,7
107,24,9
108,24,10
109,24,12
110,24,13
111,24,19
112,24,23
113,24,24
114,25,3
115,25,4
116,25,8
117,25,15
118,25,19
119,25,24
120,25,25
121,26,2
122,26,9
123,26,12
124,26,14
125,26,15
126,26,17
127,26,18
128,26,20
129,26,21
130,26,22
131,26,25
132,27,2
133,27,3
134,27,4
135,27,5
136,27,6
137,27,12
138,27,14
139,27,16
140,27,17
141,27,18
142,27,20
143,27,21
144,27,25
145,30,2
146,30,4
147,30,7
148,30,8
149,30,10
150,30,13
151,35,1
152,35,2
153,35,3
154,35,6
155,35,7
156,35,8
157,35,9
158,35,10
159,35,15
160,35,19
161,35,20
162,35,21
163,35,22
164,38,1
165,38,3
166,38,5
167,38,7
168,38,8
169,38,9
170,38,11
171,38,13
172,38,14
173,38,15
174,38,18
