1,17,20
2,65,25
3,7,7
4,5,1
5,58,17
6,52,22
7,50,3
8,69,7
9,18,4
10,14,13
11,12,23
12,59,24
13,4,18
14,72,18
15,73,7
16,72,7
17,57,4
18,20,13
19,34,2
20,19,14
21,58,11
22,25,11
23,44,23
24,22,6
25,21,20
26,32,4
27,24,5
28,69,22
29,42,10
30,77,6
31,47,4
32,7,16
33,75,2
34,34,9
35,2,3
36,23,5
37,3,18
38,35,20
39,42,8
40,73,2
41,59,21
42,58,1
43,42,20
44,21,22
45,5,20
46,36,10
47,13,14
48,43,11
49,17,7
50,78,25
51,50,14
52,24,7
53,39,17
54,10,8
55,20,14
56,53,15
57,50,17
58,37,4
59,54,23
60,56,22
61,77,16
62,73,6
63,27,15
64,33,1
65,25,20
66,32,2
67,12,16
68,57,25
69,59,25
70,21,5
71,66,1
72,71,15
73,9,19
74,67,6
75,43,2
76,16,23
77,12,17
78,23,7
79,79,18
80,10,17
81,5,6
82,15,22
83,5,24
84,41,5
85,11,25
86,29,10
87,36,4
88,76,10
89,10,3
90,58,16
91,36,7
92,37,7
93,60,13
94,79,24
95,55,7
96,6,13
97,17,9
98,15,20
99,68,18
100,26,20
101,34,15
102,8,7
103,38,10
104,78,15
105,56,24
106,64,22
107,55,17
108,13,2
109,80,14
110,61,7
111,57,23
112,30,18
113,75,25
114,33,20
115,48,15
116,4,24
117,15,15
118,29,16
119,74,25
120,26,19
121,58,23
122,17,19
123,59,5
124,10,5
125,27,13
126,61,22
127,79,24
128,21,20
129,72,18
130,44,17
131,52,23
132,2,2
133,34,24
134,22,15
135,64,5
136,40,19
137,51,14
138,9,24
139,3,2
140,19,16
141,34,19
142,67,1
143,11,18
144,8,16
145,60,11
146,62,22
147,37,11
148,37,17
149,17,17
150,5,25
